Verb,Albine,Agrippine,Burrhus,Britannicus,Narcisse,Néron,Junie
abolir,0,0,0,0,0,0,1
accommoder,0,0,0,0,1,0,0
accompagner,0,0,0,0,0,0,1
accomplir,0,0,1,0,0,0,0
accorder,0,0,0,1,0,0,0
acheminer,0,1,0,0,0,0,0
achever,0,0,2,0,0,0,0
acquitter,0,1,0,0,0,0,0
adoucir,0,0,0,0,0,1,0
adresser,0,0,0,1,0,0,0
affliger,0,0,0,0,0,0,2
aider,0,0,0,1,0,0,0
ajouter,0,1,0,0,0,0,0
allier,0,0,1,0,0,0,0
altérer,0,1,0,0,0,0,0
annoncer,0,2,0,0,0,0,0
apercevoir,1,0,0,0,0,0,0
apparaître,0,0,0,0,0,1,0
arbitrer,0,0,0,1,0,0,0
armer,0,0,1,0,0,0,0
arriver,0,0,0,0,0,1,0
asseoir,0,0,0,0,0,1,0
asservir,0,0,1,0,0,0,0
assiéger,0,1,0,0,0,0,0
attaquer,0,0,1,0,0,0,0
atteindre,0,0,0,1,0,0,0
attendrir,1,0,0,0,0,0,0
attenter,0,1,0,0,0,0,0
attester,0,0,0,0,0,1,0
attirer,0,2,0,0,0,0,0
avancer,0,2,0,0,0,0,0
avilir,0,0,1,0,0,0,0
baigner,0,0,1,0,0,0,0
bruir,0,0,0,0,0,1,0
bruire,0,0,0,1,0,0,0
brûler,1,0,0,0,0,0,0
causer,0,1,0,0,0,0,0
charger,0,0,1,0,0,0,0
colorer,0,1,0,0,0,0,0
combattre,0,0,0,1,0,0,0
commander,0,0,0,0,1,0,0
composer,0,0,1,0,0,0,0
confesser,0,2,0,0,0,0,0
confirmer,0,0,0,1,0,0,0
consacrer,0,1,0,0,0,0,0
conserver,1,0,0,0,0,0,0
conspirer,0,0,0,0,0,0,1
consterner,0,0,0,0,1,0,0
contredire,0,0,0,0,0,2,0
convaincre,0,2,0,0,0,0,0
convier,0,1,0,0,0,0,0
dessiller,0,0,0,0,1,0,0
disposer,0,0,1,0,0,0,0
dissimuler,0,0,0,0,0,0,1
dissiper,0,0,0,1,0,0,0
dresser,0,0,0,0,0,0,1
déchoir,0,0,0,0,1,0,0
décider,0,0,0,0,0,1,0
décliner,0,1,0,0,0,0,0
défier,0,0,0,1,0,0,0
déférer,1,0,0,0,0,0,0
dégager,0,1,0,0,0,0,0
délaisser,0,1,0,0,0,0,0
délivrer,0,1,0,0,0,0,0
démentir,0,0,0,0,0,1,0
dénouer,0,0,0,0,0,1,0
déplaire,0,0,1,0,0,0,0
dépouiller,0,0,0,0,0,0,1
désarmer,0,0,0,1,0,0,0
déserter,0,0,0,0,0,0,1
déshériter,1,0,0,0,0,0,0
désirer,0,0,0,0,0,1,0
déterminer,0,0,0,0,0,1,0
détruire,0,1,0,0,0,0,0
développer,0,0,0,0,1,0,0
dévorer,0,0,0,1,0,0,0
dévouer,1,0,0,0,0,0,0
efforcer,0,1,0,0,0,0,0
effrayer,0,0,0,0,0,0,1
embellir,0,0,0,0,0,1,0
employer,0,0,0,0,0,1,0
emporter,0,1,0,0,0,0,0
emprisonner,0,0,0,0,1,0,0
endurcir,0,0,1,0,0,0,0
enflammer,0,0,0,0,0,1,0
enivrer,0,1,0,0,0,0,0
ensanglanter,0,0,1,0,0,0,0
ensevelir,0,0,0,0,0,1,0
entraîner,0,0,0,1,0,0,0
entreprendre,0,0,0,0,0,1,0
entrer,0,2,0,0,0,0,0
envelopper,1,0,0,0,0,0,0
envisager,0,0,1,0,0,0,0
errer,1,0,0,0,0,0,0
estimer,0,1,0,0,0,0,0
exceller,0,0,0,0,1,0,0
excuser,0,0,2,0,0,0,0
exercer,0,0,0,0,0,0,1
exiler,0,1,0,0,0,0,0
faciliter,0,0,0,0,0,1,0
farder,0,0,1,0,0,0,0
façonner,0,0,0,0,1,0,0
finir,0,2,0,0,0,0,0
florir,0,0,1,0,0,0,0
flotter,0,0,0,0,1,0,0
fonder,0,0,0,1,0,0,0
fortifier,0,0,0,0,0,1,0
frémir,0,0,2,0,0,0,0
fumer,0,1,0,0,0,0,0
garer,0,0,1,0,0,0,0
glacer,0,0,0,2,0,0,0
goûter,0,0,0,1,0,0,0
graver,0,0,0,0,0,1,0
grossir,0,0,1,0,0,0,0
gémir,0,0,0,0,0,0,1
gêner,0,1,0,0,0,0,0
habiter,0,0,1,0,0,0,0
imaginer,0,0,0,0,0,1,0
immoler,1,0,0,0,0,0,0
inquiéter,0,0,0,0,1,0,0
interrompre,0,0,0,0,0,0,2
inviter,0,0,0,1,0,0,0
jouer,0,0,0,0,0,1,0
languir,0,1,0,0,0,0,0
laver,0,0,1,0,0,0,0
livrer,0,1,0,0,0,0,0
manquer,0,0,0,0,0,1,0
mendier,0,1,0,0,0,0,0
mener,1,0,0,0,0,0,0
mesurer,0,0,0,0,0,0,1
monter,0,1,0,0,0,0,0
nier,0,0,0,0,0,0,1
noircir,0,1,0,0,0,0,0
nuire,0,1,0,0,0,0,0
obscurcir,0,1,0,0,0,0,0
obtenir,0,0,0,1,0,0,0
opposer,0,0,0,0,0,1,0
outrager,0,0,0,0,1,0,0
parcourir,0,0,0,0,0,1,0
payer,0,0,0,0,0,2,0
percer,0,0,1,0,0,0,0
persuader,0,0,0,0,1,0,0
persécuter,0,0,0,0,0,0,1
peser,0,0,0,0,0,1,0
peupler,0,0,1,0,0,0,0
posséder,0,0,1,0,0,0,0
prescrire,0,1,0,0,1,0,0
prier,0,1,0,0,0,0,0
prodiguer,0,0,0,0,3,0,0
profiter,0,1,0,0,0,0,0
protéger,1,0,0,0,0,0,0
précéder,0,1,0,0,0,0,0
prédire,0,2,0,0,0,0,0
préoccuper,0,1,0,0,0,0,0
présager,0,1,0,0,0,0,0
préserver,0,0,0,1,0,0,0
présider,0,1,0,0,0,0,0
publier,0,0,0,0,0,1,0
puiser,0,1,0,0,0,0,0
rabaisser,0,0,0,0,0,1,0
rallumer,0,0,0,0,0,1,0
rassembler,0,0,0,0,0,1,0
rassurer,0,0,0,0,0,0,3
ravaler,0,1,0,0,0,0,0
reculer,0,1,0,0,0,0,0
redoubler,0,0,0,0,0,1,0
refuser,0,0,0,2,0,0,0
rejaillir,1,0,0,0,0,0,0
relever,0,0,0,0,0,1,0
reléguer,0,0,0,0,0,1,0
remarquer,0,0,0,1,0,0,0
renaître,0,0,1,0,0,0,0
rencontrer,0,0,0,1,0,0,0
renoncer,0,0,0,1,0,0,0
renouveler,0,1,0,0,0,0,0
rentrer,1,0,0,0,0,0,0
renvoyer,0,1,0,0,0,0,0
repaître,0,0,0,0,0,0,1
ressentir,0,2,0,0,0,0,0
retentir,0,0,0,0,1,0,0
retrouver,0,0,0,0,0,2,0
rire,0,0,0,0,1,0,0
rompre,0,1,0,0,0,0,0
rouvrir,0,1,0,0,0,0,0
réchauffer,0,0,0,1,0,0,0
réciter,0,0,0,0,1,0,0
réconcilier,0,0,0,0,0,2,0
récuser,0,0,1,0,0,0,0
réduire,0,1,0,0,0,0,0
régler,0,0,1,0,0,0,0
réveiller,0,1,0,0,0,0,0
révoquer,0,1,0,0,0,0,0
saisir,0,0,0,0,0,1,0
seconder,0,0,1,0,0,0,0
secourir,0,0,0,0,0,0,1
soulever,0,0,0,1,0,0,0
soupirer,0,0,0,0,2,0,0
soustraire,0,0,1,0,0,0,0
survivre,0,0,2,0,0,0,0
tarir,0,0,1,0,0,0,0
tendre,0,0,2,0,0,0,0
tenter,0,0,0,0,1,0,0
terminer,0,1,0,0,0,0,0
tirer,0,1,0,0,0,0,0
tourmenter,0,0,0,0,0,1,0
trafiquer,0,0,0,1,0,0,0
tramer,0,0,0,1,0,1,0
travailler,0,0,0,0,0,1,0
traîner,0,0,0,1,0,0,0
triompher,0,0,0,0,0,2,0
tuer,1,0,0,0,0,0,0
tâcher,0,0,0,0,0,1,0
unir,0,0,0,0,2,0,0
valoir,0,0,0,0,0,1,0
veiller,1,0,0,0,0,0,0
venger,0,1,0,0,0,0,0
verser,0,1,0,0,0,0,0
virer,0,0,0,1,0,0,0
écrire,0,0,1,0,0,0,0
égarer,0,1,0,0,0,0,0
émouvoir,0,0,0,1,0,0,0
éperdre,1,0,0,0,0,0,0
épier,0,0,0,1,0,0,0
éprouver,0,1,0,0,0,0,0
étendre,0,0,0,0,0,1,0
être|sommer,0,0,0,1,0,0,0
ôter,0,0,0,0,0,1,0
